index,lat,lon
252,33.739709999999995,-84.3982
253,33.76532,-84.39305
254,33.752559999999995,-84.37073000000001
255,33.70061,-84.45299
256,33.67256,-84.51071
258,33.752559999999995,-84.31851
259,33.779270000000004,-84.38148000000001
260,33.72945,-84.4231
261,33.75155,-84.36046999999999
262,33.70517,-84.35043
263,33.810959999999994,-84.39145
264,33.78065,-84.38088
265,33.75756,-84.46325
266,33.699090000000005,-84.40634
267,33.78123,-84.38946
268,33.79162,-84.44368
269,33.76882,-84.50889000000001
271,33.776709999999994,-84.45898000000001
272,33.834590000000006,-84.42622
273,33.6639,-84.52377
274,33.78999,-84.47156
275,33.73966,-84.30346999999999
277,33.741890000000005,-84.3794
278,33.70084,-84.46568
279,33.76896,-84.38069
280,33.748979999999996,-84.49168
281,33.82073,-84.36435999999999
282,33.83668,-84.3788
283,33.771159999999995,-84.43292
284,33.7556,-84.37743
285,33.76657,-84.38214
286,33.72821,-84.39976999999999
287,33.81948,-84.44775
288,33.70532,-84.35959
289,33.70602,-84.35088
290,33.72266,-84.40413000000001
292,33.75608,-84.31575
293,33.67887,-84.37034
294,33.77248,-84.37857
295,33.73454,-84.51059000000001
299,33.82114,-84.44713
300,33.69942,-84.47395
301,33.68868,-84.38173
302,33.74572,-84.38223
303,33.7479,-84.33034
305,33.699040000000004,-84.35355
306,33.75755,-84.5126
308,33.71582,-84.40815
310,33.74436,-84.37974
311,33.75857,-84.37397
312,33.76426,-84.42636999999999
313,33.72579,-84.38625
314,33.70552,-84.35754
315,33.6732,-84.4
316,33.7769,-84.35887
317,33.775490000000005,-84.36196
318,33.7727,-84.38497
319,33.79847,-84.45929
320,33.711940000000006,-84.40422
321,33.72156,-84.37076
322,33.727540000000005,-84.36419000000001
323,33.77067,-84.38023000000001
324,33.78853,-84.47041999999999
326,33.74924,-84.40971
327,33.752390000000005,-84.404
328,33.72605,-84.36831
329,33.7226,-84.375
330,33.71857,-84.52150999999999
331,33.760709999999996,-84.38593
332,33.722409999999996,-84.39989
333,33.77047,-84.39223
334,33.844429999999996,-84.3711
335,33.75169,-84.31725
336,33.85649,-84.34973000000001
337,33.72061,-84.42456
338,33.73487,-84.42975
339,33.78647,-84.38311999999999
340,33.8227,-84.37056
341,33.78568,-84.47425
342,33.74955,-84.46497
343,33.70055,-84.45149
344,33.74677,-84.36585
345,33.70984,-84.39712
346,33.69258,-84.49266
347,33.75036,-84.32141
348,33.754670000000004,-84.33399
349,33.75756,-84.48254
351,33.76464,-84.5103
352,33.78624,-84.4089
353,33.719229999999996,-84.49262
354,33.77263,-84.38099
355,33.78725,-84.42331999999999
356,33.78667,-84.38781
357,33.75569,-84.40528
358,33.68847,-84.50615
359,33.78063,-84.38207
360,33.72622,-84.3667
361,33.76206,-84.39568
362,33.7485,-84.39199
363,33.75379,-84.47417
364,33.76248,-84.35797
365,33.75203,-84.40158000000001
366,33.78627,-84.38318000000001
367,33.766329999999996,-84.46976
368,33.81313,-84.35761
369,33.657740000000004,-84.50896999999999
370,33.7573,-84.38991999999999
371,33.7532,-84.39201
374,33.7398,-84.41751
376,33.77341,-84.42012
380,33.758590000000005,-84.3473
381,33.78344,-84.39246
382,33.768209999999996,-84.41259000000001
383,33.68274,-84.40902
385,33.73646,-84.41838
387,33.82403,-84.36328
388,33.68677,-84.49773
390,33.7734,-84.35467
391,33.820409999999995,-84.45068
394,33.72991,-84.41606999999999
395,33.74665,-84.35580999999999
396,33.75139,-84.31521
397,33.69182,-84.51306
398,33.784209999999995,-84.38127
399,33.77791,-84.37786
400,33.78613,-84.3877
401,33.754090000000005,-84.39054
402,33.80323,-84.42711
403,33.754090000000005,-84.36863000000001
404,33.76115,-84.4682
405,33.80944,-84.41286
406,33.849109999999996,-84.37075
407,33.7891,-84.38414
408,33.80624,-84.3944
409,33.783,-84.41168
410,33.82905,-84.38488000000001
411,33.80588,-84.36771
412,33.72998,-84.44469000000001
413,33.84748,-84.36737
414,33.75393,-84.41481999999999
415,33.74647,-84.40954
416,33.75401,-84.37423000000001
417,33.77955,-84.38727
418,33.8132,-84.36202
419,33.78328,-84.35274
420,33.77635,-84.35388
421,33.756840000000004,-84.38475
423,33.78022,-84.41514000000001
424,33.763659999999994,-84.41734
425,33.75168,-84.38198
426,33.74837,-84.42183
427,33.77262,-84.44632
428,33.736090000000004,-84.3681
429,33.760709999999996,-84.39469
430,33.757740000000005,-84.38844
431,33.70064,-84.35514
432,33.7398,-84.38291
433,33.72845,-84.4236
434,33.7528,-84.33448
435,33.73919,-84.33731999999999
436,33.79988,-84.47023
437,33.70563,-84.48648
438,33.67628,-84.41592
440,33.75161,-84.32155999999999
441,33.76886,-84.4224
442,33.79789,-84.37101
443,33.7514,-84.39098
444,33.740359999999995,-84.34687
445,33.82026,-84.47236
446,33.81165,-84.36787
448,33.773270000000004,-84.44224
449,33.75285,-84.47033
450,33.771409999999996,-84.43377
451,33.75823,-84.41408
452,33.76665,-84.35289
453,33.76551,-84.34912
454,33.74584,-84.40353
455,33.70063,-84.35951
456,33.77901,-84.47475
457,33.7544,-84.41403000000001
458,33.76457,-84.35028
459,33.75438,-84.31988
460,33.741,-84.51725
461,33.7814,-84.45458
462,33.76222,-84.42899
463,33.7899,-84.40265
464,33.729240000000004,-84.39416999999999
466,33.75476,-84.35224000000001
467,33.81023,-84.40115
468,33.773509999999995,-84.37661
469,33.72607,-84.39655
470,33.72995,-84.40096
471,33.76553,-84.43312
472,33.77029,-84.4374
473,33.74112,-84.31365
474,33.701029999999996,-84.45746
476,33.74024,-84.3583
477,33.78287,-84.35477
478,33.774770000000004,-84.4067
479,33.698440000000005,-84.38313000000001
481,33.731640000000006,-84.39725
482,33.6959,-84.48902
483,33.77117,-84.38025
485,33.75763,-84.46002
486,33.78459,-84.46085
487,33.79088,-84.4723
488,33.75578,-84.41199
489,33.70536,-84.54368000000001
490,33.779790000000006,-84.42696
491,33.757909999999995,-84.3753
492,33.78073,-84.46306
495,33.8318,-84.37493
496,33.72578,-84.43344
497,33.71818,-84.43741
498,33.76856,-84.41973
499,33.79766,-84.38978
500,33.7682,-84.40484000000001
501,33.75537,-84.48671999999999
502,33.75195,-84.41853
503,33.73969,-84.37904
504,33.76797,-84.41628
505,33.71253,-84.36277
506,33.75079,-84.4262
508,33.80402,-84.40791
509,33.746520000000004,-84.40784000000001
510,33.73958,-84.36161
511,33.73429,-84.36095
512,33.7892,-84.38789
513,33.79169,-84.40743
515,33.77235,-84.48942
518,33.73532,-84.36493
519,33.79887,-84.49707
520,33.70262,-84.38490999999999
521,33.78588,-84.38448000000001
522,33.75945,-84.33723
523,33.7522,-84.43241
524,33.75063,-84.42129
525,33.80807,-84.38112
526,33.76612,-84.38443000000001
527,33.76967,-84.38231999999999
528,33.75443,-84.34194000000001
529,33.76083,-84.39565999999999
530,33.75107,-84.34923
531,33.77459,-84.38478
532,33.791270000000004,-84.39851
533,33.85096,-84.36147
534,33.74972,-84.41998000000001
535,33.77715,-84.46665
536,33.75545,-84.31651
537,33.75543,-84.39104
538,33.81372,-84.43095
539,33.805620000000005,-84.46495999999999
540,33.81225,-84.43408000000001
541,33.81395,-84.43106999999999
542,33.77346,-84.42217
543,33.71967,-84.4026
545,33.755590000000005,-84.38613000000001
546,33.70413,-84.46231
547,33.74264,-84.34694
548,33.831340000000004,-84.42412
549,33.81172,-84.4245
550,33.8152,-84.4655
551,33.68404,-84.35731
553,33.75918,-84.50484
554,33.77725,-84.46072
555,33.749109999999995,-84.40158000000001
556,33.75605,-84.34813
557,33.75786,-84.34875
559,33.79163,-84.40099000000001
564,33.77101,-84.38895
565,33.74348,-84.40341
567,33.82584,-84.36715
569,33.85302,-84.36278
573,33.70496,-84.42659
574,33.78455,-84.38434000000001
576,33.77159,-84.40876
577,33.774809999999995,-84.46743000000001
579,33.80063,-84.46635
580,33.77469,-84.46736999999999
581,33.77697,-84.35538000000001
582,33.74414,-84.33848
583,33.7562,-84.32472
584,33.75265,-84.33013000000001
585,33.72252,-84.42753
586,33.761540000000004,-84.38427
587,33.77471,-84.3512
588,33.75179,-84.39145
589,33.752520000000004,-84.32431
590,33.78297,-84.37993
591,33.83752,-84.37574000000001
593,33.78143,-84.37568
595,33.75677,-84.40366999999999
596,33.85252,-84.36116
597,33.70482,-84.48758000000001
598,33.81108,-84.39164
599,33.75999,-84.38616
600,33.8388,-84.37694
602,33.78345,-84.4119
603,33.78852,-84.40344
604,33.77563,-84.44609
605,33.8225,-84.37031
606,33.81635,-84.42316
607,33.78096,-84.368
608,33.75892,-84.3841
609,33.77604,-84.44485
611,33.75029,-84.39184
612,33.8128,-84.35876999999999
613,33.75107,-84.48903
614,33.73523,-84.44700999999999
615,33.76362,-84.33834
616,33.70505,-84.38033
617,33.72828,-84.38786999999999
618,33.78123,-84.49293
