,date,temperature,percentage_rain,rain_indicator
3314,2018-01-28,52.96499999999998,0.75,1
3315,2018-01-29,51.93958333333334,0.16666666666666666,1
3316,2018-01-30,39.01208333333333,0.0,0
3317,2018-01-31,37.87500000000001,0.0,0
3318,2018-02-01,48.597916666666656,0.0,0
3319,2018-02-02,41.714999999999996,0.16666666666666666,1
3320,2018-02-03,35.73916666666667,0.0,0
3321,2018-02-04,40.886250000000004,0.4166666666666667,1
3322,2018-02-05,42.843333333333334,0.0,0
3323,2018-02-06,46.10041666666668,0.125,1
3324,2018-02-07,58.18416666666666,0.5416666666666666,1
3325,2018-02-08,43.34458333333333,0.16666666666666666,1
3326,2018-02-09,45.60333333333333,0.08333333333333333,1
3327,2018-02-10,54.26333333333333,0.5833333333333334,1
3328,2018-02-11,63.99250000000001,0.6666666666666666,1
3329,2018-02-12,58.254166666666684,0.375,1
3330,2018-02-13,49.969583333333325,0.041666666666666664,1
3331,2018-02-14,51.82375000000001,0.0,0
3332,2018-02-15,61.69833333333333,0.2916666666666667,1
3333,2018-02-16,67.24291666666667,0.125,1
3334,2018-02-17,57.8375,0.2916666666666667,1
3335,2018-02-18,58.900416666666665,0.25,1
3336,2018-02-19,60.796666666666674,0.125,1
3337,2018-02-20,63.53125000000001,0.0,0
3338,2018-02-21,69.52291666666666,0.125,1
3339,2018-02-22,69.28333333333333,0.041666666666666664,1
3340,2018-02-23,66.98666666666666,0.0,0
3341,2018-02-24,70.30958333333335,0.0,0
3342,2018-02-25,65.87791666666666,0.25,1
3343,2018-02-26,59.428333333333335,0.5833333333333334,1
3344,2018-02-27,52.533750000000005,0.0,0
3345,2018-02-28,55.126250000000006,0.2916666666666667,1
3346,2018-03-01,59.234583333333326,0.4583333333333333,1
3347,2018-03-02,51.8375,0.041666666666666664,1
3348,2018-03-03,49.11750000000001,0.0,0
3349,2018-03-04,50.123333333333335,0.0,0
3350,2018-03-05,50.884583333333325,0.0,0
3351,2018-03-06,54.956666666666656,0.5,1
3352,2018-03-07,46.46166666666667,0.0,0
3353,2018-03-08,40.18958333333333,0.0,0
3354,2018-03-09,41.365833333333335,0.0,0
3355,2018-03-10,50.55166666666668,0.0,0
3356,2018-03-11,54.66166666666667,0.5833333333333334,1
3357,2018-03-12,46.91666666666666,0.375,1
3358,2018-03-13,42.72833333333333,0.0,0
3359,2018-03-14,42.61416666666666,0.0,0
3360,2018-03-15,46.81833333333333,0.0,0
3361,2018-03-16,56.07583333333333,0.0,0
3362,2018-03-17,60.543749999999996,0.08333333333333333,1
3363,2018-03-18,65.32875000000003,0.041666666666666664,1
3364,2018-03-19,60.020833333333336,0.3333333333333333,1
3365,2018-03-20,59.86000000000001,0.25,1
3366,2018-03-21,43.561249999999994,0.0,0
3367,2018-03-22,43.48166666666666,0.0,0
3368,2018-03-23,48.665,0.0,0
3369,2018-03-24,57.82791666666666,0.0,0
3370,2018-03-25,50.69458333333335,0.375,1
3371,2018-03-26,47.06041666666667,0.0,0
3372,2018-03-27,48.97958333333333,0.08333333333333333,1
3373,2018-03-28,58.9725,0.0,0
3374,2018-03-29,66.77416666666669,0.0,0
3375,2018-03-30,60.23416666666666,0.25,1
3376,2018-03-31,53.513749999999995,0.0,0
3377,2018-04-01,58.53458333333334,0.0,0
3378,2018-04-02,67.10541666666667,0.0,0
3379,2018-04-03,66.3225,0.0,0
3380,2018-04-04,61.98916666666667,0.16666666666666666,1
3381,2018-04-05,50.929999999999986,0.0,0
3382,2018-04-06,57.53000000000001,0.041666666666666664,1
3383,2018-04-07,56.02416666666667,0.4166666666666667,1
3384,2018-04-08,43.573333333333345,0.125,1
3385,2018-04-09,50.84375,0.25,1
3386,2018-04-10,56.46583333333334,0.0,0
3387,2018-04-11,56.254999999999995,0.0,0
3388,2018-04-12,60.007083333333334,0.0,0
3389,2018-04-13,65.75291666666668,0.0,0
3390,2018-04-14,71.15500000000002,0.0,0
3391,2018-04-15,63.71458333333334,0.5416666666666666,1
3392,2018-04-16,43.76208333333333,0.0,0
3393,2018-04-17,50.8225,0.0,0
3394,2018-04-18,66.45083333333334,0.0,0
3395,2018-04-19,65.06166666666665,0.0,0
3396,2018-04-20,52.72291666666667,0.0,0
3397,2018-04-21,56.40625,0.0,0
3398,2018-04-22,60.88458333333333,0.3333333333333333,1
3399,2018-04-23,60.076666666666675,0.7916666666666666,1
3400,2018-04-24,61.70166666666666,0.4583333333333333,1
3401,2018-04-25,60.33000000000001,0.041666666666666664,1
3402,2018-04-26,55.91083333333333,0.20833333333333334,1
3403,2018-04-27,59.282916666666665,0.0,0
3404,2018-04-28,63.42833333333332,0.0,0
3405,2018-04-29,61.89750000000001,0.0,0
3406,2018-04-30,59.24000000000001,0.0,0
3407,2018-05-01,63.44875000000002,0.0,0
3408,2018-05-02,68.45124999999999,0.0,0
3409,2018-05-03,70.28791666666666,0.0,0
3410,2018-05-04,70.16958333333334,0.0,0
3411,2018-05-05,71.71249999999998,0.0,0
3412,2018-05-06,69.24666666666667,0.041666666666666664,1
3413,2018-05-07,71.19666666666667,0.0,0
3414,2018-05-08,68.93916666666667,0.16666666666666666,1
3415,2018-05-09,69.85541666666667,0.0,0
3416,2018-05-10,73.60166666666667,0.08333333333333333,1
3417,2018-05-11,71.78916666666666,0.125,1
3418,2018-05-12,76.84333333333332,0.0,0
3419,2018-05-13,76.7325,0.0,0
3420,2018-05-14,77.82083333333334,0.0,0
3421,2018-05-15,75.91333333333334,0.0,0
3422,2018-05-16,71.36583333333334,0.6666666666666666,1
3423,2018-05-17,72.37625000000001,0.125,1
3424,2018-05-18,72.11125000000003,0.20833333333333334,1
3425,2018-05-19,75.23208333333334,0.041666666666666664,1
3426,2018-05-20,75.90291666666666,0.16666666666666666,1
3427,2018-05-21,72.98708333333335,0.125,1
3428,2018-05-22,73.62708333333335,0.20833333333333334,1
3429,2018-05-23,73.28125,0.5416666666666666,1
3430,2018-05-24,75.91083333333334,0.0,0
3431,2018-05-25,75.00874999999999,0.08333333333333333,1
3432,2018-05-26,75.31333333333332,0.125,1
3433,2018-05-27,75.98875,0.041666666666666664,1
3434,2018-05-28,73.64791666666666,0.7083333333333334,1
3435,2018-05-29,73.93416666666667,0.875,1
3436,2018-05-30,75.43208333333334,0.4166666666666667,1
3437,2018-05-31,76.91708333333334,0.041666666666666664,1
3438,2018-06-01,74.12083333333334,0.375,1
3439,2018-06-02,75.60000000000001,0.125,1
3440,2018-06-03,80.23041666666667,0.08333333333333333,1
3441,2018-06-04,76.45083333333334,0.0,0
3442,2018-06-05,72.23583333333333,0.0,0
3443,2018-06-06,74.54875,0.0,0
3444,2018-06-07,78.09375,0.0,0
3445,2018-06-08,77.20083333333334,0.125,1
3446,2018-06-09,76.8875,0.08333333333333333,1
3447,2018-06-10,77.13541666666667,0.125,1
3448,2018-06-11,75.54583333333332,0.08333333333333333,1
3449,2018-06-12,72.87999999999998,0.125,1
3450,2018-06-13,76.39999999999999,0.041666666666666664,1
3451,2018-06-14,76.3658333333333,0.25,1
3452,2018-06-15,80.37750000000001,0.08333333333333333,1
3453,2018-06-16,80.42124999999999,0.125,1
3454,2018-06-17,77.82333333333332,0.041666666666666664,1
3455,2018-06-18,79.23708333333333,0.0,0
3456,2018-06-19,83.27541666666669,0.0,0
3457,2018-06-20,83.39625,0.0,0
