,date,year,All_Crime,temperature,percentage_rain,rain_indicator,forecasted_crime
1942,2014-04-27,2014,85,66.70625,0.125,1,55.399125
1943,2014-04-28,2014,87,67.80833333333332,0.08333333333333333,1,56.06949999999999
1944,2014-04-29,2014,77,71.63708333333332,0.16666666666666666,1,59.67574166666665
1945,2014-04-30,2014,86,67.91083333333334,0.25,1,57.08688333333334
1946,2014-05-01,2014,72,61.01833333333334,0.08333333333333333,1,50.5017
1947,2014-05-02,2014,65,59.611250000000005,0.0,0,48.881225
1948,2014-05-03,2014,77,62.160833333333336,0.0,0,50.97188333333333
1949,2014-05-04,2014,78,67.09708333333333,0.0,0,55.01960833333333
1950,2014-05-05,2014,87,71.71249999999999,0.0,0,58.80424999999999
1951,2014-05-06,2014,83,73.2725,0.0,0,60.08344999999999
1952,2014-05-07,2014,86,71.78625,0.0,0,58.86472499999999
1953,2014-05-08,2014,86,72.28750000000001,0.0,0,59.27575
1954,2014-05-09,2014,74,71.85083333333334,0.125,1,59.61768333333334
1955,2014-05-10,2014,93,67.47166666666668,0.125,1,56.026766666666674
1956,2014-05-11,2014,77,69.75208333333335,0.20833333333333334,1,58.363375000000005
1957,2014-05-12,2014,93,74.56791666666668,0.08333333333333333,1,61.61235833333334
1958,2014-05-13,2014,73,75.00166666666668,0.0,0,61.50136666666668
1959,2014-05-14,2014,96,72.83166666666666,0.08333333333333333,1,60.18863333333333
1960,2014-05-15,2014,78,62.71791666666666,0.7083333333333334,1,55.39535833333333
1961,2014-05-16,2014,78,57.08166666666668,0.16666666666666666,1,47.740300000000005
1962,2014-05-17,2014,66,54.89000000000001,0.16666666666666666,1,45.943133333333336
1963,2014-05-18,2014,64,57.83833333333334,0.5416666666666666,1,50.460766666666665
1964,2014-05-19,2014,93,60.10374999999999,0.20833333333333334,1,50.451741666666656
1965,2014-05-20,2014,78,66.01958333333332,0.08333333333333333,1,54.602724999999985
1966,2014-05-21,2014,70,73.07124999999999,0.041666666666666664,1,60.151758333333326
1967,2014-05-22,2014,74,74.67458333333333,0.0,0,61.23315833333333
1968,2014-05-23,2014,72,77.75833333333334,0.0,0,63.761833333333335
1969,2014-05-24,2014,89,76.25750000000001,0.0,0,62.531150000000004
1970,2014-05-25,2014,81,74.72958333333334,0.125,1,61.978258333333336
1971,2014-05-26,2014,68,71.79750000000001,0.16666666666666666,1,59.80728333333334
1972,2014-05-27,2014,98,72.9525,0.20833333333333334,1,60.987716666666664
1973,2014-05-28,2014,85,75.55875,0.0,0,61.958175
1974,2014-05-29,2014,103,75.42541666666666,0.0,0,61.84884166666666
1975,2014-05-30,2014,76,73.30416666666666,0.20833333333333334,1,61.276083333333325
1976,2014-05-31,2014,87,73.58500000000001,0.16666666666666666,1,61.27303333333333
1977,2014-06-01,2014,69,72.74291666666666,0.75,1,63.849191666666655
1978,2014-06-02,2014,102,71.40583333333332,0.08333333333333333,1,59.019449999999985
1979,2014-06-03,2014,83,74.22208333333334,0.08333333333333333,1,61.32877500000001
1980,2014-06-04,2014,73,77.1425,0.0,0,63.25684999999999
1981,2014-06-05,2014,78,77.9175,0.0,0,63.89235
1982,2014-06-06,2014,79,73.13291666666666,0.6666666666666666,1,63.702324999999995
1983,2014-06-07,2014,97,76.09750000000001,0.08333333333333333,1,62.86661666666667
1984,2014-06-08,2014,94,75.59708333333334,0.20833333333333334,1,63.156275
1985,2014-06-09,2014,116,77.10499999999998,0.0,0,63.226099999999974
1986,2014-06-10,2014,99,75.60583333333332,0.20833333333333334,1,63.16344999999998
1987,2014-06-11,2014,91,71.65958333333333,0.16666666666666666,1,59.694191666666654
1988,2014-06-12,2014,85,71.21791666666667,0.125,1,59.09869166666667
1989,2014-06-13,2014,100,72.26791666666666,0.125,1,59.959691666666664
1990,2014-06-14,2014,99,73.25833333333334,0.0,0,60.07183333333334
1991,2014-06-15,2014,105,77.50625,0.041666666666666664,1,63.788458333333324
1992,2014-06-16,2014,86,78.30375000000001,0.125,1,64.909075
1993,2014-06-17,2014,104,79.32375,0.08333333333333333,1,65.51214166666666
1994,2014-06-18,2014,86,79.87583333333335,0.0,0,65.49818333333334
1995,2014-06-19,2014,100,80.30666666666667,0.0,0,65.85146666666667
1996,2014-06-20,2014,89,79.81624999999998,0.08333333333333333,1,65.91599166666666
1997,2014-06-21,2014,82,77.93416666666666,0.125,1,64.60601666666665
1998,2014-06-22,2014,93,76.93666666666667,0.0,0,63.08806666666666
1999,2014-06-23,2014,89,77.34749999999998,0.20833333333333334,1,64.59161666666665
2000,2014-06-24,2014,95,74.99041666666666,0.08333333333333333,1,61.95880833333333
2001,2014-06-25,2014,74,76.12166666666667,0.125,1,63.11976666666667
2002,2014-06-26,2014,104,75.335,0.20833333333333334,1,62.94136666666665
2003,2014-06-27,2014,76,76.48083333333334,0.0,0,62.714283333333334
2004,2014-06-28,2014,95,78.22583333333333,0.0,0,64.14518333333332
2005,2014-06-29,2014,81,78.98625000000001,0.08333333333333333,1,65.23539166666667
2006,2014-06-30,2014,111,75.65916666666665,0.20833333333333334,1,63.20718333333331
2007,2014-07-01,2014,102,79.00249999999998,0.0,0,64.78204999999998
2008,2014-07-02,2014,99,82.79083333333334,0.0,0,67.88848333333334
2009,2014-07-03,2014,88,80.8283333333333,0.0,0,66.27923333333331
2010,2014-07-04,2014,73,74.04416666666667,0.0,0,60.71621666666667
2011,2014-07-05,2014,75,75.81416666666668,0.0,0,62.167616666666675
2012,2014-07-06,2014,99,76.26,0.0,0,62.5332
2013,2014-07-07,2014,105,79.27916666666665,0.0,0,65.00891666666665
2014,2014-07-08,2014,94,79.12708333333335,0.0,0,64.88420833333333
2015,2014-07-09,2014,84,81.10041666666666,0.08333333333333333,1,66.96900833333332
2016,2014-07-10,2014,85,78.79583333333333,0.041666666666666664,1,64.84591666666667
2017,2014-07-11,2014,96,77.04958333333333,0.20833333333333334,1,64.347325
2018,2014-07-12,2014,104,77.53791666666667,0.0,0,63.58109166666667
2019,2014-07-13,2014,100,79.90291666666667,0.0,0,65.52039166666667
2020,2014-07-14,2014,107,80.58291666666665,0.20833333333333334,1,67.24465833333332
2021,2014-07-15,2014,121,78.67333333333333,0.0,0,64.51213333333332
2022,2014-07-16,2014,118,73.31250000000001,0.0,0,60.11625000000001
2023,2014-07-17,2014,78,72.2,0.0,0,59.204
2024,2014-07-18,2014,87,73.37791666666666,0.08333333333333333,1,60.636558333333326
2025,2014-07-19,2014,86,70.9725,0.75,1,62.39744999999999
2026,2014-07-20,2014,82,69.71333333333332,0.3333333333333333,1,59.03159999999999
2027,2014-07-21,2014,99,75.24625,0.3333333333333333,1,63.56859166666666
2028,2014-07-22,2014,107,76.10291666666667,0.08333333333333333,1,62.87105833333334
2029,2014-07-23,2014,86,77.65041666666669,0.041666666666666664,1,63.906675000000014
2030,2014-07-24,2014,101,76.92458333333333,0.20833333333333334,1,64.24482499999999
2031,2014-07-25,2014,94,76.75874999999999,0.08333333333333333,1,63.40884166666666
2032,2014-07-26,2014,87,77.51041666666666,0.0,0,63.558541666666656
2033,2014-07-27,2014,87,80.215,0.0,0,65.77629999999999
2034,2014-07-28,2014,91,82.69791666666664,0.0,0,67.81229166666664
2035,2014-07-29,2014,75,74.0675,0.0,0,60.73534999999999
2036,2014-07-30,2014,77,70.57166666666667,0.0,0,57.868766666666666
2037,2014-07-31,2014,95,72.66250000000001,0.08333333333333333,1,60.049916666666675
2038,2014-08-01,2014,84,70.79541666666667,0.4583333333333333,1,60.61890833333334
2039,2014-08-02,2014,97,73.20875,0.0,0,60.03117499999999
2040,2014-08-03,2014,76,75.47125000000001,0.0,0,61.886425
2041,2014-08-04,2014,100,78.18875000000001,0.0,0,64.11477500000001
2042,2014-08-05,2014,77,77.79541666666667,0.0,0,63.79224166666666
2043,2014-08-06,2014,83,77.75166666666665,0.0,0,63.75636666666665
2044,2014-08-07,2014,76,81.54166666666667,0.0,0,66.86416666666666
2045,2014-08-08,2014,75,75.70791666666666,0.3333333333333333,1,63.94715833333333
2046,2014-08-09,2014,95,75.63083333333334,0.25,1,63.41728333333334
2047,2014-08-10,2014,73,75.41625,0.2916666666666667,1,63.47465833333333
2048,2014-08-11,2014,100,76.11166666666666,0.0,0,62.41156666666666
2049,2014-08-12,2014,97,78.47583333333333,0.16666666666666666,1,65.28351666666666
2050,2014-08-13,2014,93,76.0783333333333,0.0,0,62.384233333333306
2051,2014-08-14,2014,98,72.70666666666666,0.0,0,59.61946666666666
2052,2014-08-15,2014,82,75.04833333333333,0.0,0,61.53963333333333
2053,2014-08-16,2014,76,76.06333333333333,0.0,0,62.37193333333333
2054,2014-08-17,2014,86,77.38166666666666,0.125,1,64.15296666666666
2055,2014-08-18,2014,95,78.00250000000001,0.08333333333333333,1,64.42871666666667
2056,2014-08-19,2014,80,75.86291666666668,0.3333333333333333,1,64.07425833333333
2057,2014-08-20,2014,98,76.52916666666668,0.125,1,63.45391666666668
2058,2014-08-21,2014,93,78.07083333333334,0.041666666666666664,1,64.25141666666667
2059,2014-08-22,2014,103,81.40416666666668,0.041666666666666664,1,66.98475
2060,2014-08-23,2014,90,82.33208333333332,0.041666666666666664,1,67.74564166666664
2061,2014-08-24,2014,75,80.19958333333334,0.041666666666666664,1,65.99699166666667
2062,2014-08-25,2014,90,76.85,0.0,0,63.01699999999999
2063,2014-08-26,2014,105,74.91958333333334,0.0,0,61.43405833333333
2064,2014-08-27,2014,64,75.63291666666666,0.0,0,62.01899166666666
2065,2014-08-28,2014,92,77.17583333333336,0.0,0,63.28418333333335
2066,2014-08-29,2014,85,78.16958333333334,0.0,0,64.09905833333333
2067,2014-08-30,2014,85,78.81416666666668,0.08333333333333333,1,65.09428333333334
2068,2014-08-31,2014,96,78.10249999999998,0.125,1,64.74404999999999
2069,2014-09-01,2014,86,79.46333333333332,0.041666666666666664,1,65.39326666666666
2070,2014-09-02,2014,98,77.30208333333333,0.125,1,64.08770833333332
2071,2014-09-03,2014,84,78.00166666666668,0.125,1,64.66136666666667
2072,2014-09-04,2014,99,75.22833333333331,0.4166666666666667,1,64.02056666666664
2073,2014-09-05,2014,69,77.56875,0.08333333333333333,1,64.07304166666665
2074,2014-09-06,2014,97,79.43749999999999,0.041666666666666664,1,65.37208333333332
2075,2014-09-07,2014,85,78.05291666666668,0.2916666666666667,1,65.63672500000001
2076,2014-09-08,2014,114,75.72583333333333,0.375,1,64.19518333333332
2077,2014-09-09,2014,94,75.02291666666666,0.0,0,61.51879166666666
2078,2014-09-10,2014,101,76.19583333333333,0.0,0,62.48058333333332
2079,2014-09-11,2014,84,78.70458333333332,0.0,0,64.53775833333331
2080,2014-09-12,2014,65,79.00416666666666,0.4166666666666667,1,67.11674999999998
2081,2014-09-13,2014,78,76.51333333333334,0.16666666666666666,1,63.67426666666666
2082,2014-09-14,2014,89,70.60833333333333,0.0,0,57.89883333333333
2083,2014-09-15,2014,86,69.3775,0.041666666666666664,1,57.12288333333333
2084,2014-09-16,2014,103,76.07375,0.125,1,63.080475
2085,2014-09-17,2014,68,74.38958333333333,0.0,0,60.99945833333333
2086,2014-09-18,2014,72,71.29124999999999,0.0,0,58.45882499999999
2087,2014-09-19,2014,80,73.45,0.0,0,60.229
2088,2014-09-20,2014,113,72.80208333333333,0.0,0,59.697708333333324
2089,2014-09-21,2014,100,71.98916666666668,0.0,0,59.03111666666667
2090,2014-09-22,2014,115,73.09125,0.16666666666666666,1,60.86815833333333
2091,2014-09-23,2014,80,66.46416666666666,0.0,0,54.50061666666666
2092,2014-09-24,2014,88,65.00625000000001,0.0,0,53.305125000000004
2093,2014-09-25,2014,88,68.48375,0.0,0,56.156675
2094,2014-09-26,2014,85,68.43125,0.0,0,56.113625
2095,2014-09-27,2014,83,69.3125,0.041666666666666664,1,57.069583333333334
2096,2014-09-28,2014,98,68.95375000000001,0.0,0,56.54207500000001
2097,2014-09-29,2014,91,68.7275,0.2916666666666667,1,57.98988333333333
2098,2014-09-30,2014,79,71.22416666666668,0.0,0,58.40381666666667
2099,2014-10-01,2014,84,70.82374999999998,0.041666666666666664,1,58.30880833333331
2100,2014-10-02,2014,81,71.25916666666667,0.0,0,58.432516666666665
2101,2014-10-03,2014,88,72.59041666666667,0.16666666666666666,1,60.457474999999995
2102,2014-10-04,2014,80,60.25333333333333,0.0,0,49.407733333333326
2103,2014-10-05,2014,66,53.86666666666667,0.0,0,44.17066666666666
2104,2014-10-06,2014,89,60.769583333333344,0.0,0,49.83105833333334
2105,2014-10-07,2014,90,67.48291666666667,0.0,0,55.335991666666665
2106,2014-10-08,2014,90,71.93125,0.125,1,59.683625000000006
2107,2014-10-09,2014,91,73.65041666666667,0.20833333333333334,1,61.56000833333333
2108,2014-10-10,2014,99,73.47041666666667,0.0,0,60.24574166666666
2109,2014-10-11,2014,96,74.42041666666668,0.08333333333333333,1,61.49140833333335
2110,2014-10-12,2014,98,71.51166666666667,0.16666666666666666,1,59.5729
2111,2014-10-13,2014,116,69.18916666666665,0.041666666666666664,1,56.96844999999998
2112,2014-10-14,2014,81,70.81750000000001,0.625,1,61.570350000000005
2113,2014-10-15,2014,94,60.13958333333334,0.0,0,49.314458333333334
2114,2014-10-16,2014,87,60.21458333333333,0.0,0,49.37595833333333
2115,2014-10-17,2014,69,59.769166666666656,0.0,0,49.01071666666665
2116,2014-10-18,2014,80,64.86833333333335,0.0,0,53.19203333333335
